CHROMATOGRAM	
Unknown2inEtOH.raw	
Data points: 11180	
Time	Intensity
1.573333333	18239040
1.575	17824320
1.576666667	17422080
1.578333333	17039680
1.58	16666560
1.581666667	16305600
1.583333333	15968320
1.585	15643840
1.586666667	15327680
1.588333333	15024320
1.59	14728320
1.591666667	14439040
1.593333333	14159040
1.595	13892800
1.596666667	13640960
1.598333333	13398080
1.6	13160000
1.601666667	12932160
1.603333333	12709120
1.605	12494080
1.606666667	12284800
1.608333333	12085760
1.61	11893760
1.611666667	11712000
1.613333333	11536640
1.615	11367680
1.616666667	11202560
1.618333333	11045120
1.62	10890240
1.621666667	10747520
1.623333333	10607360
1.625	10472960
1.626666667	10344000
1.628333333	10226240
1.63	10110400
1.631666667	9999680
1.633333333	9896000
1.635	9792320
1.636666667	9690240
1.638333333	9590080
1.64	9493120
1.641666667	9394560
1.643333333	9298560
1.645	9205120
1.646666667	9114880
1.648333333	9028160
1.65	8946240
1.651666667	8862400
1.653333333	8780800
1.655	8698560
1.656666667	8619520
1.658333333	8540160
1.66	8464640
1.661666667	8392000
1.663333333	8324800
1.665	8259520
1.666666667	8195520
1.668333333	8132160
1.67	8069760
1.671666667	8007680
1.673333333	7947520
1.675	7887680
1.676666667	7827520
1.678333333	7767040
1.68	7707520
1.681666667	7653440
1.683333333	7598720
1.685	7547200
1.686666667	7496320
1.688333333	7443200
1.69	7388800
1.691666667	7336000
1.693333333	7284800
1.695	7231680
1.696666667	7181760
1.698333333	7135680
1.7	7089920
1.701666667	7046400
1.703333333	7002560
1.705	6956800
1.706666667	6908480
1.708333333	6861440
1.71	6815360
1.711666667	6768000
1.713333333	6723200
1.715	6680960
1.716666667	6639680
1.718333333	6596800
1.72	6554880
1.721666667	6511680
1.723333333	6469120
1.725	6425600
1.726666667	6383360
1.728333333	6342720
1.73	6301120
1.731666667	6260800
1.733333333	6220480
1.735	6182400
1.736666667	6146880
1.738333333	6111360
1.74	6075520
1.741666667	6039040
1.743333333	6001280
1.745	5962880
1.746666667	5922880
1.748333333	5883520
1.75	5845440
1.751666667	5808000
1.753333333	5770240
1.755	5733440
1.756666667	5698560
1.758333333	5667200
1.76	5634560
1.761666667	5600000
1.763333333	5563840
1.765	5528960
1.766666667	5492160
1.768333333	5455680
1.77	5420480
1.771666667	5384320
1.773333333	5351040
1.775	5318080
1.776666667	5283520
1.778333333	5249600
1.78	5215040
1.781666667	5178880
1.783333333	5142400
1.785	5105920
1.786666667	5071040
1.788333333	5035840
1.79	5000960
1.791666667	4969600
1.793333333	4935680
1.795	4902080
1.796666667	4867840
1.798333333	4832960
1.8	4800960
1.801666667	4768320
1.803333333	4737600
1.805	4706240
1.806666667	4676480
1.808333333	4646080
1.81	4616320
1.811666667	4586560
1.813333333	4555520
1.815	4523840
1.816666667	4494720
1.818333333	4466240
1.82	4437760
1.821666667	4407360
1.823333333	4378560
1.825	4349760
1.826666667	4319360
1.828333333	4292160
1.83	4265600
1.831666667	4239040
1.833333333	4211840
1.835	4183680
1.836666667	4154560
1.838333333	4126080
1.84	4097600
1.841666667	4069120
1.843333333	4041920
1.845	4015360
1.846666667	3991040
1.848333333	3966080
1.85	3942080
1.851666667	3917120
1.853333333	3892800
1.855	3868160
1.856666667	3844480
1.858333333	3820160
1.86	3795200
1.861666667	3770880
1.863333333	3749760
1.865	3731840
1.866666667	3720320
1.868333333	3714880
1.87	3716800
1.871666667	3724160
1.873333333	3732160
1.875	3739200
1.876666667	3743680
1.878333333	3748160
1.88	3748800
1.881666667	3745920
1.883333333	3739200
1.885	3728320
1.886666667	3710080
1.888333333	3688000
1.89	3661760
1.891666667	3632640
1.893333333	3603200
1.895	3571520
1.896666667	3539840
1.898333333	3508480
1.9	3475840
1.901666667	3442240
1.903333333	3409600
1.905	3377920
1.906666667	3345600
1.908333333	3314560
1.91	3285440
1.911666667	3257920
1.913333333	3231680
1.915	3205120
1.916666667	3160340
1.918333333	3127960
1.92	3099890
1.921666667	3070930
1.923333333	3042160
1.925	3015880
1.926666667	2991870
1.928333333	2968880
1.93	2947220
1.931666667	2927250
1.933333333	2908060
1.935	2889120
1.936666667	2870110
1.938333333	2850230
1.94	2830740
1.941666667	2811660
1.943333333	2793030
1.945	2773050
1.946666667	2754620
1.948333333	2735110
1.95	2716220
1.951666667	2697920
1.953333333	2679950
1.955	2661990
1.956666667	2644280
1.958333333	2626090
1.96	2607970
1.961666667	2589770
1.963333333	2571290
1.965	2553650
1.966666667	2536860
1.968333333	2520370
1.97	2505390
1.971666667	2489750
1.973333333	2473940
1.975	2458350
1.976666667	2442080
1.978333333	2426800
1.98	2412090
1.981666667	2398410
1.983333333	2384930
1.985	2370650
1.986666667	2356930
1.988333333	2342260
1.99	2327070
1.991666667	2311640
1.993333333	2296740
1.995	2282250
1.996666667	2268240
1.998333333	2255060
2	2240520
2.001666667	2225790
2.003333333	2211300
2.005	2195830
2.006666667	2181300
2.008333333	2167740
2.01	2155590
2.011666667	2143700
2.013333333	2132430
2.015	2121820
2.016666667	2110300
2.018333333	2098370
2.02	2086310
2.021666667	2074350
2.023333333	2063300
2.025	2052300
2.026666667	2041150
2.028333333	2028950
2.03	2015250
2.031666667	2000730
2.033333333	1987370
2.035	1975470
2.036666667	1965430
2.038333333	1955870
2.04	1946470
2.041666667	1937270
2.043333333	1928100
2.045	1918790
2.046666667	1909660
2.048333333	1901030
2.05	1892030
2.051666667	1882670
2.053333333	1873560
2.055	1864010
2.056666667	1854740
2.058333333	1844810
2.06	1835500
2.061666667	1826270
2.063333333	1818490
2.065	1809620
2.066666667	1801840
2.068333333	1793890
2.07	1785740
2.071666667	1777400
2.073333333	1769910
2.075	1763200
2.076666667	1756270
2.078333333	1749210
2.08	1742000
2.081666667	1734260
2.083333333	1726000
2.085	1717810
2.086666667	1709620
2.088333333	1700930
2.09	1692190
2.091666667	1682760
2.093333333	1673370
2.095	1664920
2.096666667	1656820
2.098333333	1649240
2.1	1642400
2.101666667	1636430
2.103333333	1629900
2.105	1622980
2.106666667	1616120
