CHROMATOGRAM	
VanillinEtOH.raw	
Data points: 12380	
Time	Intensity
1.463333333	61525120
1.465	59386240
1.466666667	57285440
1.468333333	55194240
1.47	53019520
1.471666667	50950080
1.473333333	49009280
1.475	47150720
1.476666667	45337920
1.478333333	43547840
1.48	41833280
1.481666667	40184640
1.483333333	38606400
1.485	37102720
1.486666667	35671680
1.488333333	34306560
1.49	32982080
1.491666667	31699200
1.493333333	30470080
1.495	29289600
1.496666667	28171200
1.498333333	27115200
1.5	26111040
1.501666667	25147200
1.503333333	24232000
1.505	23351040
1.506666667	22500160
1.508333333	21670720
1.51	20859200
1.511666667	20077440
1.513333333	19335040
1.515	18630400
1.516666667	17964800
1.518333333	17326080
1.52	16716800
1.521666667	16137920
1.523333333	15582080
1.525	15047680
1.526666667	14532160
1.528333333	14043520
1.53	13578880
1.531666667	13136000
1.533333333	12717760
1.535	12311040
1.536666667	11920320
1.538333333	11544000
1.54	11187520
1.541666667	10848320
1.543333333	10523520
1.545	10216320
1.546666667	9922560
1.548333333	9640640
1.55	9369600
1.551666667	9111680
1.553333333	8865280
1.555	8628800
1.556666667	8405120
1.558333333	8191680
1.56	7987200
1.561666667	7787840
1.563333333	7597760
1.565	7416640
1.566666667	7245760
1.568333333	7083520
1.57	6928960
1.571666667	6780480
1.573333333	6635200
1.575	6495680
1.576666667	6361280
1.578333333	6234240
1.58	6115520
1.581666667	6000000
1.583333333	5889280
1.585	5784320
1.586666667	5684160
1.588333333	5587520
1.59	5495360
1.591666667	5404800
1.593333333	5319040
1.595	5240000
1.596666667	5162560
1.598333333	5087040
1.6	5014400
1.601666667	4945920
1.603333333	4878720
1.605	4815040
1.606666667	4751040
1.608333333	4687360
1.61	4625920
1.611666667	4567040
1.613333333	4511040
1.615	4458560
1.616666667	4407360
1.618333333	4357760
1.62	4308800
1.621666667	4260480
1.623333333	4212480
1.625	4166400
1.626666667	4121920
1.628333333	4081280
1.63	4041920
1.631666667	4003200
1.633333333	3964480
1.635	3926720
1.636666667	3889280
1.638333333	3850560
1.64	3813440
1.641666667	3775360
1.643333333	3739200
1.645	3703360
1.646666667	3668160
1.648333333	3635200
1.65	3603520
1.651666667	3572160
1.653333333	3542080
1.655	3513280
1.656666667	3484160
1.658333333	3453120
1.66	3422400
1.661666667	3391680
1.663333333	3363840
1.665	3336000
1.666666667	3308480
1.668333333	3280320
1.67	3253760
1.671666667	3226880
1.673333333	3195300
1.675	3151710
1.676666667	3121510
1.678333333	3090360
1.68	3059270
1.681666667	3027820
1.683333333	2997330
1.685	2968740
1.686666667	2943030
1.688333333	2918680
1.69	2894870
1.691666667	2871310
1.693333333	2847250
1.695	2822150
1.696666667	2796660
1.698333333	2771290
1.7	2747150
1.701666667	2723320
1.703333333	2700610
1.705	2677390
1.706666667	2655140
1.708333333	2632470
1.71	2609970
1.711666667	2590130
1.713333333	2571700
1.715	2554300
1.716666667	2539690
1.718333333	2526710
1.72	2516570
1.721666667	2508380
1.723333333	2501390
1.725	2497590
1.726666667	2493200
1.728333333	2488940
1.73	2483810
1.731666667	2478860
1.733333333	2472710
1.735	2465020
1.736666667	2457850
1.738333333	2449800
1.74	2441720
1.741666667	2433300
1.743333333	2423850
1.745	2414090
1.746666667	2402560
1.748333333	2391200
1.75	2379300
1.751666667	2366790
1.753333333	2353370
1.755	2338910
1.756666667	2323020
1.758333333	2307740
1.76	2292490
1.761666667	2275580
1.763333333	2257930
1.765	2239660
1.766666667	2221070
1.768333333	2201780
1.77	2181710
1.771666667	2159820
1.773333333	2137860
1.775	2115100
1.776666667	2091180
1.778333333	2066540
1.78	2042800
1.781666667	2018900
1.783333333	1993720
1.785	1969180
1.786666667	1944370
1.788333333	1921660
1.79	1898830
1.791666667	1877140
1.793333333	1856530
1.795	1835870
1.796666667	1814720
1.798333333	1793440
1.8	1772890
1.801666667	1752540
1.803333333	1733830
1.805	1716000
1.806666667	1699760
1.808333333	1684320
1.81	1669080
1.811666667	1653780
1.813333333	1638640
1.815	1624160
1.816666667	1611150
1.818333333	1598760
1.82	1586970
1.821666667	1575380
1.823333333	1563580
1.825	1551950
1.826666667	1540910
1.828333333	1531260
1.83	1521560
1.831666667	1512100
1.833333333	1502990
1.835	1493170
1.836666667	1483440
1.838333333	1474010
1.84	1464520
1.841666667	1455240
1.843333333	1446600
1.845	1438050
1.846666667	1430340
1.848333333	1422730
1.85	1414920
1.851666667	1406480
1.853333333	1398420
1.855	1390460
1.856666667	1382660
1.858333333	1374980
1.86	1367480
1.861666667	1359700
1.863333333	1352570
1.865	1345160
1.866666667	1337980
1.868333333	1330370
1.87	1323360
1.871666667	1316400
1.873333333	1310930
1.875	1307910
1.876666667	1309160
1.878333333	1314720
1.88	1321620
1.881666667	1328000
1.883333333	1333010
1.885	1336410
1.886666667	1336600
1.888333333	1335200
1.89	1332830
1.891666667	1329160
1.893333333	1324790
1.895	1317350
1.896666667	1307170
1.898333333	1295350
1.9	1282440
1.901666667	1269390
1.903333333	1256750
1.905	1244870
1.906666667	1233900
1.908333333	1223350
1.91	1213500
1.911666667	1204740
1.913333333	1196780
1.915	1189630
1.916666667	1182960
1.918333333	1176560
1.92	1170940
1.921666667	1165670
1.923333333	1160280
1.925	1155180
1.926666667	1150440
1.928333333	1145570
1.93	1141120
1.931666667	1136810
1.933333333	1132410
1.935	1128170
1.936666667	1123750
1.938333333	1119530
1.94	1115650
1.941666667	1111960
1.943333333	1108160
1.945	1104320
1.946666667	1100480
1.948333333	1096690
1.95	1093100
1.951666667	1089170
1.953333333	1085650
1.955	1081790
1.956666667	1077170
1.958333333	1072850
1.96	1069440
1.961666667	1065600
1.963333333	1061720
1.965	1058490
1.966666667	1055010
1.968333333	1051460
1.97	1048090
1.971666667	1044410
1.973333333	1040790
1.975	1037530
1.976666667	1034110
1.978333333	1030620
1.98	1027390
1.981666667	1024290
1.983333333	1021320
1.985	1018000
1.986666667	1014630
1.988333333	1011310
1.99	1007830
1.991666667	1005100
1.993333333	1002300
1.995	999530
1.996666667	996300
1.998333333	993010
2	989900
2.001666667	986600
2.003333333	982890
2.005	978610
2.006666667	974040
2.008333333	969300
2.01	965240
2.011666667	961870
2.013333333	958420
2.015	955670
2.016666667	953230
2.018333333	950960
2.02	949210
2.021666667	947090
2.023333333	945820
2.025	944200
2.026666667	943780
2.028333333	944970
2.03	949060
2.031666667	956550
2.033333333	966960
2.035	980040
2.036666667	994530
2.038333333	1009080
2.04	1023400
2.041666667	1037700
2.043333333	1051210
2.045	1063740
2.046666667	1075130
2.048333333	1085640
2.05	1094630
2.051666667	1103280
2.053333333	1111890
2.055	1120100
2.056666667	1128280
2.058333333	1135560
2.06	1142840
2.061666667	1149080
2.063333333	1153050
2.065	1153730
2.066666667	1150510
2.068333333	1144350
2.07	1136160
2.071666667	1125750
2.073333333	1113650
2.075	1099130
2.076666667	1083480
2.078333333	1066360
2.08	1048870
2.081666667	1031360
2.083333333	1014270
2.085	998030
2.086666667	983020
2.088333333	968540
2.09	955310
2.091666667	942750
2.093333333	931550
2.095	921190
2.096666667	911410
2.098333333	903000
2.1	895360
2.101666667	888410
2.103333333	881940
2.105	876350
2.106666667	871480
2.108333333	867130
2.11	863350
2.111666667	860180
2.113333333	857220
2.115	854170
2.116666667	852230
2.118333333	850420
2.12	848440
2.121666667	846420
2.123333333	844310
2.125	842090
2.126666667	840400
2.128333333	838830
2.13	837230
2.131666667	835380
2.133333333	833380
2.135	831410
2.136666667	829620
2.138333333	827610
2.14	826040
2.141666667	824420
2.143333333	822810
2.145	821580
2.146666667	820200
2.148333333	818720
2.15	817730
2.151666667	816810
2.153333333	815610
2.155	814460
2.156666667	813080
2.158333333	811880
2.16	811010
2.161666667	809830
2.163333333	808790
2.165	807310
2.166666667	805580
2.168333333	803710
2.17	801830
2.171666667	800010
2.173333333	798470
2.175	797230
2.176666667	795590
2.178333333	794020
2.18	792550
2.181666667	791310
2.183333333	790320
2.185	789550
2.186666667	788560
2.188333333	787500
2.19	786300
2.191666667	785000
2.193333333	783490
2.195	781860
2.196666667	780190
2.198333333	778440
2.2	777490
2.201666667	776310
2.203333333	775390
2.205	774630
2.206666667	773910
2.208333333	773540
2.21	773120
2.211666667	772290
2.213333333	771680
2.215	770880
2.216666667	770080
2.218333333	769180
2.22	768230
2.221666667	767740
2.223333333	767300
2.225	766770
2.226666667	766010
2.228333333	765250
2.23	764670
2.231666667	763740
2.233333333	762490
2.235	761150
2.236666667	759890
2.238333333	758700
2.24	757640
2.241666667	757000
2.243333333	756600
2.245	756050
2.246666667	755770
2.248333333	755500
2.25	755260
2.251666667	754850
2.253333333	754110
2.255	753450
2.256666667	752530
2.258333333	751920
2.26	750930
2.261666667	749670
2.263333333	748490
2.265	747430
2.266666667	746510
2.268333333	745740
2.27	744810
2.271666667	743930
2.273333333	743340
2.275	743060
2.276666667	742460
2.278333333	741870
2.28	741350
2.281666667	740740
2.283333333	740340
2.285	740180
2.286666667	739470
2.288333333	738780
2.29	738400
2.291666667	737550
2.293333333	736240
2.295	735130
2.296666667	734000
2.298333333	733180
2.3	732450
2.301666667	731800
2.303333333	730800
2.305	730160
2.306666667	729590
2.308333333	729070
2.31	728810
2.311666667	728760
2.313333333	728540
2.315	728210
2.316666667	728240
2.318333333	727880
2.32	727540
2.321666667	727330
2.323333333	726750
2.325	726210
2.326666667	725580
2.328333333	724810
2.33	723790
2.331666667	723060
2.333333333	722330
2.335	721870
2.336666667	721010
2.338333333	720360
2.34	720060
2.341666667	719960
2.343333333	719540
2.345	719130
2.346666667	718730
2.348333333	718170
2.35	717220
2.351666667	716150
2.353333333	714960
2.355	714070
2.356666667	713070
2.358333333	712330
2.36	711630
2.361666667	711180
2.363333333	710770
2.365	710620
2.366666667	710200
2.368333333	709820
2.37	709340
2.371666667	708880
2.373333333	708520
2.375	708410
2.376666667	708420
2.378333333	708540
2.38	708560
2.381666667	708480
2.383333333	708270
2.385	707870
2.386666667	707530
2.388333333	706740
2.39	706440
2.391666667	707070
2.393333333	709250
2.395	715450
2.396666667	727710
2.398333333	748140
2.4	775900
2.401666667	809410
2.403333333	845690
2.405	883510
2.406666667	923410
2.408333333	965120
2.41	1007640
2.411666667	1051070
2.413333333	1094920
2.415	1137830
2.416666667	1174720
2.418333333	1201240
2.42	1214840
2.421666667	1213130
2.423333333	1196560
2.425	1169110
2.426666667	1134110
2.428333333	1093350
2.43	1049140
2.431666667	1004070
2.433333333	960320
2.435	919890
2.436666667	883270
2.438333333	850910
2.44	823020
2.441666667	799040
2.443333333	778620
2.445	762050
2.446666667	748270
2.448333333	737160
2.45	728270
2.451666667	721500
2.453333333	715780
2.455	710860
2.456666667	707000
2.458333333	703810
2.46	701020
2.461666667	698770
2.463333333	696950
2.465	695460
2.466666667	693990
2.468333333	692700
2.47	691240
2.471666667	690050
2.473333333	689770
2.475	689210
2.476666667	689180
2.478333333	688760
2.48	688340
2.481666667	687830
2.483333333	687560
2.485	686840
2.486666667	686310
2.488333333	685910
2.49	685130
2.491666667	684530
2.493333333	684280
2.495	684140
2.496666667	684320
2.498333333	684190
2.5	683640
2.501666667	682980
2.503333333	683050
2.505	682860
2.506666667	682500
2.508333333	682390
2.51	682080
2.511666667	682000
2.513333333	681520
2.515	680840
2.516666667	680430
2.518333333	679790
2.52	679230
2.521666667	679050
2.523333333	678820
2.525	678400
2.526666667	678090
2.528333333	677390
2.53	676440
2.531666667	676130
2.533333333	676400
2.535	676160
2.536666667	676120
2.538333333	675820
2.54	675820
2.541666667	676140
2.543333333	676390
2.545	676780
2.546666667	676550
2.548333333	676020
2.55	676000
2.551666667	675760
2.553333333	675870
2.555	675700
2.556666667	675430
2.558333333	675070
2.56	675060
2.561666667	674940
2.563333333	674700
2.565	674250
2.566666667	673710
2.568333333	673220
2.57	673000
2.571666667	673070
2.573333333	673210
2.575	673560
2.576666667	673360
2.578333333	673340
2.58	672860
2.581666667	672450
2.583333333	672130
2.585	672000
2.586666667	671340
2.588333333	670580
2.59	670210
2.591666667	669920
2.593333333	669660
2.595	669490
2.596666667	669260
2.598333333	668740
2.6	668310
2.601666667	668160
2.603333333	667810
2.605	667570
2.606666667	667480
2.608333333	667710
2.61	667890
2.611666667	667840
2.613333333	667550
2.615	667160
2.616666667	666750
2.618333333	666310
2.62	666100
2.621666667	665910
2.623333333	665870
2.625	665350
2.626666667	665220
2.628333333	665320
2.63	665270
2.631666667	665040
2.633333333	664930
2.635	664930
2.636666667	664850
2.638333333	664480
2.64	664490
2.641666667	664320
2.643333333	664100
2.645	664110
2.646666667	663840
2.648333333	663970
2.65	664120
2.651666667	663780
2.653333333	663620
2.655	663360
2.656666667	663620
2.658333333	663540
2.66	663640
2.661666667	663850
