CHROMATOGRAM	
MixtureinEtOH.raw	
Time	Intensity
1.823333333	2478090
1.825	2466080
1.826666667	2455960
1.828333333	2446150
1.83	2435900
1.831666667	2425050
1.833333333	2414500
1.835	2404030
1.836666667	2391960
1.838333333	2379290
1.84	2365100
1.841666667	2352860
1.843333333	2339520
1.845	2327530
1.846666667	2315970
1.848333333	2303590
1.85	2291670
1.851666667	2279140
1.853333333	2268480
1.855	2257240
1.856666667	2246700
1.858333333	2237060
1.86	2227700
1.861666667	2218690
1.863333333	2210270
1.865	2201790
1.866666667	2193600
1.868333333	2186080
1.87	2184880
1.871666667	2201600
1.873333333	2242040
1.875	2301080
1.876666667	2364880
1.878333333	2422880
1.88	2467120
1.881666667	2498140
1.883333333	2515360
1.885	2519050
1.886666667	2510760
1.888333333	2493620
1.89	2469200
1.891666667	2439550
1.893333333	2407290
1.895	2371370
1.896666667	2335510
1.898333333	2299380
1.9	2264340
1.901666667	2230880
1.903333333	2200390
1.905	2172990
1.906666667	2145970
1.908333333	2121200
1.91	2096550
1.911666667	2074320
1.913333333	2052350
1.915	2032290
1.916666667	2013320
1.918333333	1995470
1.92	1979910
1.921666667	1964530
1.923333333	1951380
1.925	1938310
1.926666667	1926900
1.928333333	1914860
1.93	1903750
1.931666667	1892690
1.933333333	1881300
1.935	1870410
1.936666667	1861120
1.938333333	1851650
1.94	1842230
1.941666667	1832790
1.943333333	1823750
1.945	1815000
1.946666667	1806530
1.948333333	1799210
1.95	1791320
1.951666667	1783270
1.953333333	1775380
1.955	1766850
1.956666667	1758480
1.958333333	1749920
1.96	1741270
1.961666667	1732390
1.963333333	1724540
1.965	1716680
1.966666667	1709150
1.968333333	1702150
1.97	1695370
1.971666667	1688330
1.973333333	1682520
1.975	1675570
1.976666667	1668590
1.978333333	1662210
1.98	1654830
1.981666667	1647600
1.983333333	1640560
1.985	1633020
1.986666667	1626040
1.988333333	1618630
1.99	1611840
1.991666667	1604620
1.993333333	1597410
1.995	1589770
1.996666667	1582130
1.998333333	1574080
2	1565560
2.001666667	1558460
2.003333333	1551590
2.005	1545310
2.006666667	1538440
2.008333333	1532150
2.01	1525520
2.011666667	1519030
2.013333333	1513480
2.015	1508330
2.016666667	1504650
2.018333333	1499160
2.02	1494800
2.021666667	1489560
2.023333333	1485060
2.025	1479550
2.026666667	1473290
2.028333333	1468080
2.03	1462390
2.031666667	1455530
2.033333333	1448080
2.035	1441670
2.036666667	1434480
2.038333333	1427680
2.04	1421780
2.041666667	1415980
2.043333333	1409440
2.045	1404500
2.046666667	1399250
2.048333333	1394280
2.05	1389830
2.051666667	1385060
2.053333333	1380940
2.055	1377400
2.056666667	1372460
2.058333333	1369400
2.06	1365280
2.061666667	1360930
2.063333333	1355990
2.065	1350810
2.066666667	1346230
2.068333333	1341690
2.07	1337420
2.071666667	1333680
2.073333333	1330780
2.075	1327630
2.076666667	1324010
2.078333333	1320010
2.08	1316560
2.081666667	1312880
2.083333333	1308930
2.085	1303900
2.086666667	1300550
2.088333333	1296390
2.09	1291990
2.091666667	1287990
2.093333333	1283110
2.095	1278330
2.096666667	1273020
2.098333333	1267670
2.1	1262460
2.101666667	1258140
2.103333333	1253380
2.105	1249040
2.106666667	1243500
2.108333333	1240820
2.11	1237240
2.111666667	1232890
2.113333333	1229890
2.115	1226760
2.116666667	1224080
2.118333333	1221220
2.12	1217240
2.121666667	1212250
2.123333333	1207760
2.125	1203420
2.126666667	1199160
2.128333333	1195730
2.13	1192530
2.131666667	1189200
2.133333333	1186050
2.135	1183170
2.136666667	1181040
